City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,1.48,98,100,5.33,GS,1698358371
1,al jubayl,27.0112,49.6583,27.07,57,0,6.1,SA,1698358361
2,thompson,55.7435,-97.8558,-1.91,50,100,4.12,CA,1698358371
3,blackmans bay,-43.0167,147.3167,10.41,68,51,1.01,AU,1698358371
4,acarau,-2.8856,-40.12,25.87,77,7,7.27,BR,1698358155
5,horta,38.5333,-28.6333,16.68,78,77,2.68,PT,1698358372
6,margaret river,-33.95,115.0667,13.31,52,85,5.14,AU,1698358372
7,brookings,44.3114,-96.7984,10.1,95,100,4.12,US,1698358372
8,babat,-7.1128,112.1635,24.64,84,7,2.98,ID,1698358372
9,iqaluit,63.7506,-68.5145,-2.15,64,75,3.09,CA,1698358372
10,isafjordur,66.0755,-23.124,4.06,90,74,1.87,IS,1698358194
11,puerto natales,-51.7236,-72.4875,7.25,49,100,2.06,CL,1698358148
12,muisne,0.6,-80.0333,25.25,83,100,4.13,EC,1698358373
13,tiksi,71.6872,128.8694,-14.58,97,99,2.47,RU,1698358373
14,vilhena,-12.7406,-60.1458,26.93,56,85,2.11,BR,1698358234
15,ghanzi,-21.5667,21.7833,28.53,24,39,7.9,BW,1698358373
16,lebu,-37.6167,-73.65,12.37,81,3,5.0,CL,1698358373
17,brisas de zicatela,15.8369,-97.0419,26.73,86,100,0.84,MX,1698358373
18,manado,1.487,124.8455,25.43,83,20,1.54,ID,1698358358
19,georgetown,5.4112,100.3354,25.57,88,20,0.51,MY,1698358286
20,moussoro,13.6408,16.4901,30.01,13,14,3.95,TD,1698358374
21,port elizabeth,-33.918,25.5701,17.4,89,75,10.29,ZA,1698358374
22,yarmouth,41.7057,-70.2286,19.42,75,0,2.24,US,1698358374
23,jedrzejow,50.6394,20.3045,10.76,99,59,2.67,PL,1698358374
24,funafuti,-8.5243,179.1942,31.0,84,40,5.14,TV,1698358374
25,kailua-kona,19.6406,-155.9956,30.15,72,0,4.63,US,1698358175
26,galliano,29.4422,-90.2992,28.0,74,40,3.6,US,1698358375
27,palmerston,-12.486,130.9833,28.85,79,20,0.0,AU,1698358375
28,lihue,21.9789,-159.3672,27.77,65,0,3.6,US,1698358375
29,ushuaia,-54.8,-68.3,3.81,65,0,8.23,AR,1698358375
30,thames,-37.1333,175.5333,12.65,94,100,3.55,NZ,1698358375
31,mount isa,-20.7333,139.5,18.87,16,0,6.17,AU,1698358375
32,stanley,54.868,-1.6985,9.74,94,75,4.63,GB,1698358375
33,udachny,66.4167,112.4,-18.88,100,90,0.62,RU,1698358376
34,qaqortoq,60.7167,-46.0333,0.47,58,36,1.33,GL,1698358376
35,port mathurin,-19.6833,63.4167,24.33,76,33,6.3,MU,1698358376
36,pisco,-13.7,-76.2167,20.03,83,100,1.54,PE,1698358280
37,taltal,-25.4,-70.4833,16.85,69,22,1.29,CL,1698358220
38,broken hill,-31.95,141.4333,12.07,48,0,6.57,AU,1698358376
39,tofol,5.3248,163.0078,26.88,89,100,1.03,FM,1698358376
40,changleng,28.7,115.8167,21.13,73,100,1.8,CN,1698358377
41,trinec,49.6776,18.6708,12.71,87,100,2.35,CZ,1698358377
42,olonkinbyen,70.9221,-8.7187,-0.24,74,76,1.57,SJ,1698358377
43,kayangel,8.0823,134.7173,28.15,72,16,0.89,PW,1698358377
44,akureyri,65.6835,-18.0878,0.64,93,48,2.74,IS,1698358104
45,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,83,0,7.15,RU,1698358377
46,merizo village,13.2658,144.6691,29.31,97,81,2.91,GU,1698358377
47,tvoroyri,61.5556,-6.8111,9.17,83,97,12.75,FO,1698358378
48,howrah,22.5892,88.3103,25.0,88,20,0.0,IN,1698358378
49,wamba,8.9333,8.6,23.94,79,22,1.03,NG,1698358378
50,bredasdorp,-34.5322,20.0403,14.12,76,58,3.08,ZA,1698358378
51,port-aux-francais,-49.35,70.2167,2.11,80,100,9.14,TF,1698358157
52,st. john's,47.5649,-52.7093,10.38,92,98,1.79,CA,1698358264
53,jamestown,42.097,-79.2353,20.95,49,0,4.12,US,1698358230
54,adamstown,-25.066,-130.1015,22.53,79,79,5.06,PN,1698358379
55,weno,7.4515,151.8468,28.97,84,75,0.0,FM,1698358156
56,bethel,41.3712,-73.414,22.19,63,47,1.04,US,1698358150
57,lata,40.1629,-8.3327,14.4,93,61,1.52,PT,1698358379
58,crane,31.3974,-102.3501,29.4,20,0,3.86,US,1698358379
59,hithadhoo,-0.6,73.0833,27.38,77,41,7.37,MV,1698358190
60,sinop,41.7711,34.8709,17.44,46,100,2.45,TR,1698358379
61,chonchi,-42.6128,-73.8092,11.73,67,89,2.84,CL,1698358379
62,sitka,57.0531,-135.33,10.94,46,0,2.06,US,1698358380
63,klyuchi,52.2667,79.1667,-1.09,58,6,6.62,RU,1698358177
64,heroica caborca,30.7167,-112.15,29.59,22,3,2.63,MX,1698358380
65,ancud,-41.8697,-73.8203,10.69,84,100,4.78,CL,1698358380
66,ottawa,45.4112,-75.6981,16.8,92,100,4.63,CA,1698357817
67,naha,26.2125,127.6811,22.38,68,20,3.6,JP,1698358380
68,atafu village,-8.5421,-172.5159,28.57,78,100,6.81,TK,1698358160
69,albany,42.6001,-73.9662,20.5,65,87,0.22,US,1698358103
70,hamilton,39.1834,-84.5333,24.03,61,0,4.12,US,1698358369
71,anadyr,64.75,177.4833,0.28,100,75,3.0,RU,1698358182
72,moranbah,-22.0016,148.0466,21.31,16,0,9.0,AU,1698358381
73,labytnangi,66.6572,66.4183,-9.19,90,100,1.65,RU,1698358381
74,koungheul,13.9833,-14.8,30.75,32,55,2.75,SN,1698358381
75,enewetak,11.3474,162.3373,28.66,77,100,7.24,MH,1698358381
76,puerto ayora,-0.7393,-90.3518,28.98,88,33,4.02,EC,1698358381
77,saint-pierre,-21.3393,55.4781,23.82,83,0,1.54,RE,1698358286
78,papatowai,-46.5619,169.4708,3.99,71,81,9.53,NZ,1698358382
79,i-n-salah,27.1935,2.4607,28.35,24,0,1.59,DZ,1698358382
80,kingston,17.997,-76.7936,28.45,74,82,2.5,JM,1698358287
81,avarua,-21.2078,-159.775,23.03,60,75,5.66,CK,1698358164
82,yuzhno-kurilsk,44.0306,145.8556,11.32,87,81,2.64,RU,1698358268
83,yorkton,51.2167,-102.4677,-5.09,63,100,3.6,CA,1698358383
84,phek,25.6667,94.5,9.85,99,39,0.46,IN,1698358383
85,rio verde de mato grosso,-18.9181,-54.8442,32.5,42,77,4.43,BR,1698358119
86,khandyga,62.6667,135.6,-7.59,97,100,0.48,RU,1698358383
87,nabire,-3.3667,135.4833,24.89,89,55,1.36,ID,1698358383
88,waitangi,-43.9535,-176.5597,13.23,92,98,4.02,NZ,1698358156
89,saguenay,48.4168,-71.0657,10.6,85,100,0.33,CA,1698358117
90,minot,48.2325,-101.2963,-3.88,80,100,6.69,US,1698358384
91,zhalantun,48.0,122.7167,-0.81,43,55,1.83,CN,1698358384
92,luderitz,-26.6481,15.1594,16.08,81,6,6.49,NA,1698358384
93,mariental,-24.6333,17.9667,26.03,19,41,7.46,NA,1698358230
94,dalandzadgad,43.5708,104.425,6.99,29,0,2.86,MN,1698358244
95,mangrol,21.1167,70.1167,26.36,62,11,2.05,IN,1698358385
96,boa vista,2.8197,-60.6733,32.99,49,40,3.09,BR,1698358385
97,cidreira,-30.1811,-50.2056,16.11,73,27,4.22,BR,1698358385
98,freetown,8.484,-13.2299,26.76,84,97,2.65,SL,1698358386
99,contamana,-7.3333,-75.0167,34.85,39,98,0.12,PE,1698358386
100,hermanus,-34.4187,19.2345,15.97,74,64,4.61,ZA,1698358386
101,ciudad bolivar,8.1222,-63.5497,28.89,70,91,2.47,VE,1698358386
102,cabo san lucas,22.8909,-109.9124,28.43,61,0,4.48,MX,1698357609
103,uturoa,-16.7333,-151.4333,25.66,81,100,4.54,PF,1698358386
104,khorixas,-20.3667,14.9667,18.94,47,19,1.33,NA,1698358387
105,bilibino,68.0546,166.4372,-18.83,100,91,1.28,RU,1698358387
106,osakarovka,50.565,72.5692,-3.12,63,7,4.35,KZ,1698358387
107,carnarvon,-24.8667,113.6333,19.45,77,10,11.47,AU,1698358197
108,badger,64.8,-147.5333,2.06,83,75,0.0,US,1698358387
109,namibe,-15.1961,12.1522,20.44,74,86,2.29,AO,1698358388
110,orchard homes,46.8633,-114.0484,-2.92,63,100,4.63,US,1698358388
111,puerto yuca,2.9383,-73.2083,29.39,71,45,1.15,CO,1698358388
112,xinyuan,37.3,99.0,-3.51,53,0,2.05,CN,1698358388
